name,description,github_url,role,category,comment
"LazySlide","A package for modular and scalable whole slide image analysis","https://github.com/RendeiroLab/LazySlide","author","image-analysis",""
"WSIData","Efficient data structures and IO for whole slide image analysis","https://github.com/RendeiroLab/WSIData","author","image-analysis",""
"wsi","A Python package for the processing of whole slide histopathological images","https://github.com/RendeiroLab/wsi","author","image-analysis",""
"cytomine_utils","A package with utilities to interact with Cytomine APIs","https://github.com/RendeiroLab/cytomine_utils","author","utilities",""
"IMC","A package for the analysis of imaging mass cytometry data","https://github.com/ElementoLab/imc","contributor","data-analysis",""
"imcpipeline","A pipeline for the preprocessing of imaging mass cytometry data","https://github.com/ElementoLab/imcpipeline","contributor","pipelines",""
"imctransfer","Program for the robust, parallel transfer of raw IMC data between machines","https://github.com/ElementoLab/imctransfer","contributor","utilities",""
"page-enrichment","A Python implementation of the Parametric Analysis of Gene Set Enrichment (PAGE)","https://github.com/afrendeiro/page-enrichment","author","data-analysis",""
"ngs-toolkit","A toolkit for the analysis of NGS data","https://github.com/afrendeiro/toolkit","author","data-analysis",""
"peppy","A package to work with Portable Encapsulated Projects (PEP) in Python","https://github.com/pepkit/peppy","contributor","utilities",""
"looper","A job controller for Portable Encapsulated Projects (PEP)","https://github.com/pepkit/looper","contributor","utilities",""
"open_pipelines","Pipelines for a variety of NGS data","https://github.com/epigen/open_pipelines","contributor","pipelines",""
"ngstk","A collection of CLI tools for bioinformatics workflows","https://github.com/pepkit/ngstk","contributor","utilities",""